,id,fleet,fleet_name,unit_number,unit_id,asset_id,asset_label,asset_label_slug,asset_type,asset_type_display,asset_make,asset_model,asset_year,asset_group_name,start_date,end_date,alert_type,alert_id,tags,severity_text,status,workflow_state,workflow_state_display,short_desc,long_desc,values,created_on,updated_on,source,read_by,read,rtdv_url,reviewed_by,repairplans
35,780626,176,Metrolinx,gt-g9f4yvfcf4kw,12742,1152541,8385,8385,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-06-27 16:20:47+0000,2023-06-27 16:20:47+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 594.557491}",2023-06-27 17:27:10+0000,2023-06-28 13:48:29+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9f4yvfcf4kw&start=2023-06-27T15:20:47&end=2023-06-27T16:20:47&alert_type=faultcode&alert_pk=780626&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
39,778765,176,Metrolinx,gt-g9f4yvfcf4kw,12742,1152541,8385,8385,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-06-26 21:22:46+0000,2023-06-26 22:32:45+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 411.739214}",2023-06-26 22:31:13+0000,2023-06-27 14:48:09+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9f4yvfcf4kw&start=2023-06-26T20:22:46&end=2023-06-26T22:32:45&alert_type=faultcode&alert_pk=778765&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
44,776578,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-25 18:20:41+0000,2023-06-26 13:29:12+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 264.323214}",2023-06-25 19:25:25+0000,2023-06-27 17:46:16+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-25T17:20:41&end=2023-06-26T13:29:12&alert_type=faultcode&alert_pk=776578&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
6,771901,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-22 23:13:32+0000,2023-06-22 23:13:32+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 272.517802}",2023-06-23 00:19:32+0000,2023-06-23 21:44:44+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-22T22:13:32&end=2023-06-22T23:13:32&alert_type=faultcode&alert_pk=771901&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
19,769672,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-21 21:16:49+0000,2023-06-22 01:12:01+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 372.73415300000005}",2023-06-21 22:22:15+0000,2023-06-22 15:34:52+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-21T20:16:49&end=2023-06-22T01:12:01&alert_type=faultcode&alert_pk=769672&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
31,767631,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-20 23:21:14+0000,2023-06-21 08:00:55+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 302.20529}",2023-06-21 00:25:42+0000,2023-06-21 14:06:35+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-20T22:21:14&end=2023-06-21T08:00:55&alert_type=faultcode&alert_pk=767631&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
45,764723,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-19 14:24:10+0000,2023-06-19 17:39:53+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 317.51907400000005}",2023-06-19 15:30:17+0000,2023-06-21 00:25:42+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-19T13:24:10&end=2023-06-19T17:39:53&alert_type=faultcode&alert_pk=764723&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
14,759073,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-16 11:51:50+0000,2023-06-16 11:51:50+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 223.00589200000002}",2023-06-16 12:56:16+0000,2023-06-19 15:30:17+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-16T10:51:50&end=2023-06-16T11:51:50&alert_type=faultcode&alert_pk=759073&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
33,756831,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-15 11:19:26+0000,2023-06-15 19:08:30+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 240.104679}",2023-06-15 12:28:32+0000,2023-06-16 12:56:16+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-15T10:19:26&end=2023-06-15T19:08:30&alert_type=faultcode&alert_pk=756831&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
0,752304,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-13 11:14:21+0000,2023-06-13 20:59:34+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 242.995889}",2023-06-13 12:37:32+0000,2023-06-15 12:28:32+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-13T10:14:21&end=2023-06-13T20:59:34&alert_type=faultcode&alert_pk=752304&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
19,744797,176,Metrolinx,gt-g9bmd0yuf6es,12743,1152546,8320,8320,bus,Bus,ALEXANDER DENNIS LIMITED,,2016,Alexander Dennis Buses,2023-06-09 12:33:54+0000,2023-06-09 12:33:54+0000,faultcode,47058960,['SCR'],Severe,active,active,Active,SPN-FMI: 5743-9,5743-9: Aftertreatment Selective Catalytic Reduction Temperature Sensor Module - Abnormal Update Rate,"{'FMI': 9, 'SPN': 5743, 'count': 1, 'source': 0, 'ingestion_delay': 393.428045}",2023-06-09 13:41:09+0000,2023-06-09 14:32:32+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9bmd0yuf6es&start=2023-06-09T11:33:54&end=2023-06-09T12:33:54&alert_type=faultcode&alert_pk=744797&spn=0&spn=84&spn=190&spn=5743,['sam@preteckt.com'],[]
31,709513,176,Metrolinx,gt-g9f4yvfcf4kw,12742,1152541,8385,8385,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-05-23 10:01:53+0000,2023-05-23 10:28:07+0000,faultcode,45766928,['Fuel'],Severe,active,active,Active,SPN-FMI: 5585-18,5585-18: Engine Injector Metering Rail 1 Cranking Pressure - Data Valid But Below Normal Operating Range - Moderately Severe Level,"{'FMI': 18, 'SPN': 5585, 'count': 1, 'source': 0, 'ingestion_delay': 227.691518}",2023-05-23 11:06:28+0000,2023-05-23 20:55:12+0000,0,[350],FALSE,/rtdv/?unit_number=gt-g9f4yvfcf4kw&start=2023-05-23T09:01:53&end=2023-05-23T10:28:07&alert_type=faultcode&alert_pk=709513&spn=0&spn=5585&spn=84&spn=190,['shadd@preteckt.com'],[]
23,665398,176,Metrolinx,gt-g9nunphzm2ww,12737,1153750,8488,8488,bus,Bus,ALEXANDER DENNIS LIMITED,,2018,Alexander Dennis Buses,2023-04-30 20:46:26+0000,2023-04-30 23:46:07+0000,faultcode,45766928,['Fuel'],Severe,active,active,Active,SPN-FMI: 5585-18,5585-18: Engine Injector Metering Rail 1 Cranking Pressure - Data Valid But Below Normal Operating Range - Moderately Severe Level,"{'FMI': 18, 'SPN': 5585, 'count': 1, 'source': 0, 'ingestion_delay': 329.49375100000003}",2023-04-30 21:42:10+0000,2023-05-01 14:03:14+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9nunphzm2ww&start=2023-04-30T19:46:26&end=2023-04-30T23:46:07&alert_type=faultcode&alert_pk=665398&spn=0&spn=5585&spn=84&spn=190,['sam@preteckt.com'],[]
30,662113,176,Metrolinx,gt-g9nunphzm2ww,12737,1153750,8488,8488,bus,Bus,ALEXANDER DENNIS LIMITED,,2018,Alexander Dennis Buses,2023-04-28 17:58:36+0000,2023-04-28 18:29:46+0000,faultcode,45766928,['Fuel'],Severe,active,active,Active,SPN-FMI: 5585-18,5585-18: Engine Injector Metering Rail 1 Cranking Pressure - Data Valid But Below Normal Operating Range - Moderately Severe Level,"{'FMI': 18, 'SPN': 5585, 'count': 1, 'source': 0, 'ingestion_delay': 338.87768400000004}",2023-04-28 19:02:57+0000,2023-05-01 14:03:19+0000,0,[236],FALSE,/rtdv/?unit_number=gt-g9nunphzm2ww&start=2023-04-28T16:58:36&end=2023-04-28T18:29:46&alert_type=faultcode&alert_pk=662113&spn=0&spn=5585&spn=84&spn=190,['sam@preteckt.com'],[]
13,818974,176,Metrolinx,gt-g9a5jy3c9tv1,12739,1153751,8399,8399,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-07-16 11:37:09+0000,2023-07-16 22:52:04+0000,faultcode,45631760,['DPF'],Severe,active,active,Active,SPN-FMI: 5569-2,"5569-2: Aftertreatment 1 Diesel Particulate Filter 1 Soot Sensor ECU Internal Temperature - Data Erratic, Intermittent, or Incorrect","{'FMI': 2, 'SPN': 5569, 'count': 1, 'source': 0, 'ingestion_delay': 314.480515}",2023-07-16 12:10:52+0000,2023-07-17 21:06:36+0000,0,[350],FALSE,/rtdv/?unit_number=gt-g9a5jy3c9tv1&start=2023-07-16T10:37:09&end=2023-07-16T22:52:04&alert_type=faultcode&alert_pk=818974&spn=0&spn=5569&spn=84&spn=190,['shadd@preteckt.com'],"[{'id': 14258, 'author': 350, 'author_username': 'shadd@preteckt.com', 'author_full_name': 'Shadd McCormack', 'has_edit_access': False, 'alerts': [818974], 'asset': 1153751, 'asset_label': '8399', 'fleet': 176, 'fleet_name': 'Metrolinx', 'group': 69, 'vin': 'SFEA12119HTN40105', 'vmrs_codes': [], 'raw_content': 'Cummins Fault - 6646 - AFTERTREATMENT 1 DIESEL PARTICULATE FILTER 1 SOOT SENSOR ECU INTERNAL TEMPERATURE - DATA ERRATIC, INTERMITTENT, OR INCORRECT - Recommend to test wiring at particulate matter sensor. if no fault found replace particulate matter sensor.', 'rendered_content': '<p>Cummins Fault - 6646 - AFTERTREATMENT 1 DIESEL PARTICULATE FILTER 1 SOOT SENSOR ECU INTERNAL TEMPERATURE - DATA ERRATIC, INTERMITTENT, OR INCORRECT - Recommend to test wiring at particulate matter sensor. if no fault found replace particulate matter sensor.</p>', 'state': 'open', 'comments_count': 0, 'updated_on': '2023-07-17 21:06:22+0000', 'created_on': '2023-07-17 21:06:21+0000'}]"
3,821387,176,Metrolinx,gt-g9tzykez7an4,12738,1153731,8376,8376,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-07-17 14:22:34+0000,2023-07-17 18:53:53+0000,faultcode,44230160,['DPF'],Severe,active,active,Active,SPN-FMI: 5397-31,5397-31: Aftertreatment Diesel Particulate Filter Regeneration too Frequent - Condition Exists,"{'FMI': 31, 'SPN': 5397, 'count': 1, 'source': 0, 'ingestion_delay': 277.235853}",2023-07-17 15:25:26+0000,2023-07-17 23:03:04+0000,0,[350],FALSE,/rtdv/?unit_number=gt-g9tzykez7an4&start=2023-07-17T13:22:34&end=2023-07-17T18:53:53&alert_type=faultcode&alert_pk=821387&spn=0&spn=84&spn=5397&spn=190,['shadd@preteckt.com'],"[{'id': 14262, 'author': 350, 'author_username': 'shadd@preteckt.com', 'author_full_name': 'Shadd McCormack', 'has_edit_access': False, 'alerts': [821387, 819303, 816338, 813191], 'asset': 1153731, 'asset_label': '8376', 'fleet': 176, 'fleet_name': 'Metrolinx', 'group': 69, 'vin': 'SFEA11110HTN40083', 'vmrs_codes': [], 'raw_content': 'Cummins Fault - 3375 - AFTERTREATMENT DIESEL PARTICULATE FILTER REGENERATION TOO FREQUENT - CONDITION EXISTS - Please refer to previous repair plan #14142.', 'rendered_content': '<p>Cummins Fault - 3375 - AFTERTREATMENT DIESEL PARTICULATE FILTER REGENERATION TOO FREQUENT - CONDITION EXISTS - Please refer to previous repair plan <a href=""/repairplans/14142/"">#14142</a>.</p>', 'state': 'open', 'comments_count': 0, 'updated_on': '2023-07-17 23:02:44+0000', 'created_on': '2023-07-17 23:02:44+0000'}]"
9,819303,176,Metrolinx,gt-g9tzykez7an4,12738,1153731,8376,8376,bus,Bus,ALEXANDER DENNIS LIMITED,,2017,Alexander Dennis Buses,2023-07-16 14:00:20+0000,2023-07-16 14:37:17+0000,faultcode,44230160,['DPF'],Severe,active,active,Active,SPN-FMI: 5397-31,5397-31: Aftertreatment Diesel Particulate Filter Regeneration too Frequent - Condition Exists,"{'FMI': 31, 'SPN': 5397, 'count': 1, 'source': 0, 'ingestion_delay': 353.36669800000004}",2023-07-16 15:07:19+0000,2023-07-17 15:25:26+0000,0,[496],FALSE,/rtdv/?unit_number=gt-g9tzykez7an4&start=2023-07-16T13:00:20&end=2023-07-16T14:37:17&alert_type=faultcode&alert_pk=819303&spn=0&spn=84&spn=5397&spn=190,['oliver@preteckt.com'],"[{'id': 14262, 'author': 350, 'author_username': 'shadd@preteckt.com', 'author_full_name': 'Shadd McCormack', 'has_edit_access': False, 'alerts': [821387, 819303, 816338, 813191], 'asset': 1153731, 'asset_label': '8376', 'fleet': 176, 'fleet_name': 'Metrolinx', 'group': 69, 'vin': 'SFEA11110HTN40083', 'vmrs_codes': [], 'raw_content': 'Cummins Fault - 3375 - AFTERTREATMENT DIESEL PARTICULATE FILTER REGENERATION TOO FREQUENT - CONDITION EXISTS - Please refer to previous repair plan #14142.', 'rendered_content': '<p>Cummins Fault - 3375 - AFTERTREATMENT DIESEL PARTICULATE FILTER REGENERATION TOO FREQUENT - CONDITION EXISTS - Please refer to previous repair plan <a href=""/repairplans/14142/"">#14142</a>.</p>', 'state': 'open', 'comments_count': 0, 'updated_on': '2023-07-17 23:02:44+0000', 'created_on': '2023-07-17 23:02:44+0000'}]"
